"flow size", "SRTF mean completion time / flow size", "SIN mean completion time / flow size", "SIN mean cost per packet" 
1, 1.08823529412, 1.07647058824, 6.77447058824
2, 1.1015625, 1.10546875, 6.94953125
3, 1.2049689441, 1.20703933747, 6.46596279503
4, 1.20569620253, 1.21518987342, 6.85028481013
5, 1.2641509434, 1.28301886792, 6.66066666667
6, 1.40397350993, 1.40507726269, 6.62849940397
7, 1.49177489177, 1.51774891775, 6.30670947273
8, 1.57098765432, 1.57484567901, 6.28891203704
9, 1.69729344729, 1.73504273504, 6.24043466667
10, 1.76024096386, 1.78554216867, 5.5873313253
11, 2.0393258427, 2.05413687436, 5.27900445506
12, 2.15010040161, 2.14457831325, 5.40493949578
13, 2.48717948718, 2.52071005917, 5.15432482051
14, 2.48187633262, 2.60181236674, 5.05063955149
15, 3.02147651007, 3.12617449664, 4.34542738054
16, 2.95552884615, 3.02524038462, 4.2175724359
17, 3.35868005739, 3.43723098996, 3.64617245244
18, 3.50857142857, 3.58, 3.62413069143
19, 3.71394395079, 3.78503075871, 3.42783279545
20, 3.79528301887, 3.98553459119, 2.8776509434
21, 4.16350123865, 4.18827415359, 2.8114289237
22, 4.2437785678, 4.21025901473, 2.98272160782
23, 4.55319693095, 4.69207161125, 2.45090506235
24, 4.90027777778, 4.99583333333, 1.38471932
25, 5.01164556962, 5.06329113924, 1.64046835443
26, 5.18055555556, 5.15651709402, 1.42634346458
27, 5.58274459431, 5.830229073, 0.378520779538
28, 5.67356687898, 5.80823475887, 0.82372834586
29, 5.83059476973, 5.89377458922, 0.257296897315
30, 5.97185628743, 6.05808383234, 0.510668393413
31, 6.41463874741, 6.55348047538, -0.330756425731
32, 6.72531960227, 6.70419034091, -0.720594821023
33, 6.78259101078, 6.84157006305, -1.0543499443
34, 6.81764705882, 6.77139959432, -0.637332828966
35, 6.94092900964, 6.95056967572, -0.789445928221
36, 7.11738351254, 7.2017921147, -1.52678880645
37, 7.50877996641, 7.3734921362, -1.9500700339
38, 7.72903916769, 7.59791921665, -2.13355112849
39, 7.92985938792, 7.76046319272, -2.49610264774
40, 8.0745, 7.834, -2.31243666667
