"flow size" "SRTF" "Market"
1 1.13398294762 1.10353227771
2 1.2125 1.20657894737
3 1.27246720588 1.28267963235
4 1.37957497048 1.41646989374
5 1.56747572816 1.60121359223
6 1.75323830311 1.80159755181
7 1.99222654172 2.0801519347
8 2.35976368159 2.40267412935
9 2.81671505632 2.91364171464
10 3.15456885457 3.28764478764
11 3.75788028894 3.83531298995
12 4.12590794189 4.23325255448
13 4.63343189744 4.70670608974
14 5.05340296896 5.17129408907
15 5.54419574627 5.73698151741
16 6.16701211735 6.30285395408
17 6.53812889148 6.80705610268
18 6.96982968789 7.26314329588
19 7.36992268482 7.66065936446
20 7.80084848485 8.01060606061
21 8.20407276885 8.4351055377
22 8.70794708982 8.98633640719
23 9.21232617718 9.52332207524
24 9.6402665659 9.87575546554
25 10.1528380024 10.4875030451
26 10.5270041207 10.9132347638
27 10.8886478023 11.1110153836
28 11.2884409832 11.7050001423
29 11.6570721795 11.9212202692
30 11.9969329325 12.3603266012
31 12.4546373569 12.8410671864
32 12.8072735088 12.9438960819
33 13.2224102918 13.4539022414
34 13.6543747 13.8447056125
35 14.0049527038 14.1314353169
36 14.3551350576 14.2816196415
37 14.805064323 14.4219988955
38 15.3374471354 14.8640361068
39 15.5259619048 14.8827506642
40 16.0482260184 15.1116622865
